sku,title,artist,era,method,price,url,img
DA001,徐悲鴻款 駿馬図,徐悲鴻,近現代,工芸品,13000,products/DA001.html,images/DA001/01.jpg
DA090,白伯驊款 黛玉葬花図,白伯驊,近現代,工芸品,13000,products/DA090.html,images/DA090/01.jpg
DA024,劉奎齢款 秋樹牧牛図,劉奎齢,近現代,工芸品,13000,products/DA024.html,images/DA024/01.jpg
DA035,沈銓款 九如図,沈銓,清,工芸品,13000,products/DA035.html,images/DA035/01.jpg
DA081,丁観鵬款 五龍王朝拝観音図,丁観鵬,清,工芸品,13000,products/DA081.html,images/DA081/01.jpg
DA040,丁観鵬款 送子観音図,丁観鵬,清,工芸品,13000,products/DA040.html,images/DA040/01.jpg
DA039,凌雪款 荷花九魚図,凌雪,現代,工芸品,13000,products/DA039.html,images/DA039/01.jpg
DA011,任伯年款 鍾馗夜訓図,任頤（任伯年）,晩清,工芸品,13000,products/DA011.html,images/DA011/01.jpg
DA032,程璋款 双猫窺魚図,程璋,近現代,工芸品,13000,products/DA032.html,images/DA032/01.jpg
DA005,張大千款 金銭荷花図,張大千,近現代,工芸品,13000,products/DA005.html,images/DA005/01.jpg
